"Index","Answers"
1,"3M, 808920992"
2,"3M Littmann"
3,"Abbott, 1414181383, 1437756029, 2193028537"
4,"Acer"
5,"Adidas"
6,"AHC, 1617870284, 1617870284, 1617870284"
7,"Anello"
8,"Anessa, 2029406181, 2029406183, 2029406217"
9,"Anessa, Senka, Za, Tsubaki, Ma Cherie"
10,"Anker, 2179082901, 1714037082, 571752299"
11,"Anlene, 2134752959, 2134752959, 2134752955"
12,"Anmum"
13,"Asiavina, 1208555800, 1208555800, 1542756042"
14,"Asics"
15,"Asus, 1313801131, 1313801131, 1970715278"
16,"ASUS, 2046258587, 1738131639, 2046281478"
17,"Asus Laptops"
18,"Asus Mobile"
19,"Aveeno"
20,"Baby Love"
21,"BabyLove, 1062487846, 1483183444"
22,"Barbie"
23,"Bata"
24,"Bebelac"
25,"Beiersdorf"
26,"Bench"
27,"Bestmart"
28,"Blackmores"
29,"Bosch, 1285081080, 1285081080, 1285081080"
30,"Bosch "
31,"Bosch Power Tools, 1285081080, 1285081080, 1285081080"
32,"Bose"
33,"Bourjois"
34,"Calvin Klein"
35,"Canon"
36,"Carefree"
37,"Casio, 1711629802, 1768957090, 888584130"
38,"CeraVe"
39,"Certainty"
40,"Clarks"
41,"Coca Cola"
42,"Coca-cola"
43,"Coca-Cola, 2079420917, 1787662208, 2079360585"
44,"Colgate, 2278187434"
45,"Converse"
46,"Coolwinks"
47,"Coty"
48,"Coty (Rimmel, Bourjois)"
49,"Crocs"
50,"Danone"
51,"Dell, 1638992499"
52,"Delsey"
53,"Denizen"
54,"Dettol"
55,"Dr. Martens"
56,"Dugro"
57,"Dumex"
58,"Durex, 1426645051, 1426684048, 1426645051"
59,"Dutch Lady, 2111777546, 2111777578, 2111777662"
60,"Dyson"
61,"Electrolux"
62,"eMart, 2046258587, 1738131639, 2046281478"
63,"Enfa, 2076171981, 2090981246, 2090981246"
64,"Enfamil"
65,"Ensure"
66,"Etude House"
67,"Eucerin, 1464762206, 2218766590, 1464762339"
68,"Evian"
69,"Fernleaf"
70,"Fila"
71,"Fisher-Price"
72,"Fitbit"
73,"Fititi, Certainity"
74,"Fjallraven"
75,"Fonterra"
76,"Foremost"
77,"Fossil"
78,"Frisian Flag"
79,"Friso"
80,"Fritolay"
81,"Fuji Film"
82,"G2000"
83,"GAP"
84,"Garnier"
85,"Gillette"
86,"Giordano"
87,"Harman Kardon, 1921091854"
88,"Hasbro"
89,"Havaianas"
90,"Head and Shoulders"
91,"Heinz"
92,"Herschel"
93,"Hill's Petcare"
94,"Honor, 959954111, 959954111, 1314524952"
95,"Hot Wheels"
96,"HP"
97,"HTC"
98,"Huawei, 2046497190, 1544337154, 1799788606"
99,"Huggies, 2095050046, 2095050046, 2095050075"
100,"Huggles, 2095050046, 2095050046, 2095050075"
101,"Hush Puppies"
102,"Innisfree"
103,"Ipanema"
104,"J&J"
105,"Jansport"
106,"JanSport"
107,"JBL, 1921091854"
108,"John Frieda"
109,"Johnson & Johnson, 2208055186, 2141738638, 1368300985"
110,"Johnson's Baby"
111,"Kamiliant"
112,"Kao"
113,"Keds, 2044567279, 1561142689, 1569375870"
114,"Kellogg's"
115,"Kelloggs"
116,"Kimberly Clark"
117,"Kinohimitsu"
118,"Kipling"
119,"Kira Kira"
120,"KitchenAid"
121,"Kleenex"
122,"Kotex"
123,"La Roche Posay, 2056020123, 2058470603, 2056020123"
124,"Lactum"
125,"Lakme"
126,"Laneige"
127,"Lee"
128,"LEGO"
129,"Lenovo"
